:Data_list: 20130411_Gp_xr_5m.txt
:Created: 2013 Apr 11 2010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2013 04 11  0000   56393      0     2.23e-08    1.31e-06    1.70e-02
2013 04 11  0005   56393    300     1.97e-08    1.21e-06    1.63e-02
2013 04 11  0010   56393    600     1.82e-08    1.15e-06    1.58e-02
2013 04 11  0015   56393    900     1.69e-08    1.13e-06    1.50e-02
2013 04 11  0020   56393   1200     3.80e-08    1.29e-06    2.92e-02
2013 04 11  0025   56393   1500     5.24e-08    1.46e-06    3.58e-02
2013 04 11  0030   56393   1800     3.72e-08    1.39e-06    2.66e-02
2013 04 11  0035   56393   2100     2.04e-08    1.23e-06    1.64e-02
2013 04 11  0040   56393   2400     1.45e-08    1.11e-06    1.30e-02
2013 04 11  0045   56393   2700     9.72e-09    1.04e-06    9.35e-03
2013 04 11  0050   56393   3000     8.43e-09    9.72e-07    8.61e-03
2013 04 11  0055   56393   3300     2.49e-09    8.97e-07    2.78e-03
2013 04 11  0100   56393   3600     3.45e-09    8.41e-07    4.07e-03
2013 04 11  0105   56393   3900     9.42e-09    8.95e-07    1.05e-02
2013 04 11  0110   56393   4200     1.33e-09    8.07e-07    1.64e-03
2013 04 11  0115   56393   4500     1.03e-09    7.37e-07    1.40e-03
2013 04 11  0120   56393   4800     1.30e-09    7.11e-07    1.82e-03
2013 04 11  0125   56393   5100     1.04e-09    6.78e-07    1.53e-03
2013 04 11  0130   56393   5400     1.02e-09    6.51e-07    1.57e-03
2013 04 11  0135   56393   5700     1.09e-09    6.69e-07    1.62e-03
2013 04 11  0140   56393   6000     3.86e-09    7.20e-07    5.34e-03
2013 04 11  0145   56393   6300     3.95e-09    7.43e-07    5.31e-03
2013 04 11  0150   56393   6600     5.96e-09    7.46e-07    7.98e-03
2013 04 11  0155   56393   6900     6.91e-09    7.52e-07    9.19e-03
2013 04 11  0200   56393   7200     6.91e-09    7.54e-07    9.17e-03
2013 04 11  0205   56393   7500     2.71e-09    7.31e-07    3.70e-03
2013 04 11  0210   56393   7800     2.15e-09    7.24e-07    2.97e-03
2013 04 11  0215   56393   8100     2.82e-09    7.02e-07    4.00e-03
2013 04 11  0220   56393   8400     1.08e-09    6.87e-07    1.57e-03
2013 04 11  0225   56393   8700     1.00e-09    6.87e-07    1.46e-03
2013 04 11  0230   56393   9000     1.07e-09    7.00e-07    1.53e-03
2013 04 11  0235   56393   9300     1.53e-09    7.37e-07    2.06e-03
2013 04 11  0240   56393   9600     5.79e-09    8.12e-07    7.13e-03
2013 04 11  0245   56393   9900     5.64e-09    8.36e-07    6.75e-03
2013 04 11  0250   56393  10200     4.77e-09    8.26e-07    5.76e-03
2013 04 11  0255   56393  10500     2.10e-09    8.01e-07    2.63e-03
2013 04 11  0300   56393  10800     2.46e-09    7.74e-07    3.17e-03
2013 04 11  0305   56393  11100     3.69e-09    7.89e-07    4.64e-03
2013 04 11  0310   56393  11400     7.02e-09    8.28e-07    8.47e-03
2013 04 11  0315   56393  11700     2.28e-09    7.87e-07    2.88e-03
2013 04 11  0320   56393  12000     2.36e-09    7.62e-07    3.09e-03
2013 04 11  0325   56393  12300     4.72e-09    8.05e-07    5.80e-03
2013 04 11  0330   56393  12600     3.39e-09    7.68e-07    4.39e-03
2013 04 11  0335   56393  12900     2.11e-09    7.11e-07    2.98e-03
2013 04 11  0340   56393  13200     1.00e-09    7.03e-07    1.43e-03
2013 04 11  0345   56393  13500     1.34e-09    7.31e-07    1.83e-03
2013 04 11  0350   56393  13800     1.55e-09    7.16e-07    2.16e-03
2013 04 11  0355   56393  14100     5.49e-09    7.74e-07    7.04e-03
2013 04 11  0400   56393  14400     6.04e-09    7.97e-07    7.58e-03
2013 04 11  0405   56393  14700     2.65e-09    7.81e-07    3.39e-03
2013 04 11  0410   56393  15000     1.46e-09    7.64e-07    1.91e-03
2013 04 11  0415   56393  15300     1.62e-09    7.70e-07    2.10e-03
2013 04 11  0420   56393  15600     3.51e-09    7.66e-07    4.57e-03
2013 04 11  0425   56393  15900     6.07e-09    8.20e-07    7.34e-03
2013 04 11  0430   56393  16200     6.16e-09    8.32e-07    7.41e-03
2013 04 11  0435   56393  16500     4.15e-09    7.84e-07    5.30e-03
2013 04 11  0440   56393  16800     4.52e-09    7.95e-07    5.68e-03
2013 04 11  0445   56393  17100     2.53e-08    1.00e-06    2.41e-02
2013 04 11  0450   56393  17400     2.96e-08    1.07e-06    2.70e-02
2013 04 11  0455   56393  17700     8.14e-09    8.83e-07    9.09e-03
2013 04 11  0500   56393  18000     2.61e-09    7.69e-07    3.40e-03
2013 04 11  0505   56393  18300     7.41e-09    8.12e-07    8.93e-03
2013 04 11  0510   56393  18600     1.28e-09    7.41e-07    1.73e-03
2013 04 11  0515   56393  18900     2.07e-09    7.34e-07    2.82e-03
2013 04 11  0520   56393  19200     1.55e-09    7.14e-07    2.17e-03
2013 04 11  0525   56393  19500     4.98e-09    7.41e-07    6.60e-03
2013 04 11  0530   56393  19800     3.05e-08    9.31e-07    3.23e-02
2013 04 11  0535   56393  20100     2.30e-08    1.00e-06    2.28e-02
2013 04 11  0540   56393  20400     1.17e-08    9.43e-07    1.24e-02
2013 04 11  0545   56393  20700     5.87e-09    8.97e-07    6.52e-03
2013 04 11  0550   56393  21000     7.23e-09    8.59e-07    8.41e-03
2013 04 11  0555   56393  21300     6.85e-09    9.16e-07    7.43e-03
2013 04 11  0600   56393  21600     1.32e-08    9.79e-07    1.33e-02
2013 04 11  0605   56393  21900     2.95e-08    1.13e-06    2.61e-02
2013 04 11  0610   56393  22200     2.20e-08    1.09e-06    2.00e-02
2013 04 11  0615   56393  22500     1.37e-08    1.03e-06    1.31e-02
2013 04 11  0620   56393  22800     9.12e-09    9.02e-07    1.01e-02
2013 04 11  0625   56393  23100     1.09e-08    8.98e-07    1.21e-02
2013 04 11  0630   56393  23400     1.40e-08    9.24e-07    1.51e-02
2013 04 11  0635   56393  23700     1.55e-08    9.31e-07    1.67e-02
2013 04 11  0640   56393  24000     1.54e-08    9.52e-07    1.62e-02
2013 04 11  0645   56393  24300     1.61e-08    9.56e-07    1.69e-02
2013 04 11  0650   56393  24600     1.88e-08    9.81e-07    1.91e-02
2013 04 11  0655   56393  24900     1.19e-07    1.70e-06    5.72e-02
2013 04 11  0700   56393  25200     1.54e-06    8.99e-06    1.61e-01
2013 04 11  0705   56393  25500     6.54e-06    2.83e-05    2.29e-01
2013 04 11  0710   56393  25800     1.19e-05    5.46e-05    2.19e-01
2013 04 11  0715   56393  26100     1.05e-05    6.38e-05    1.65e-01
2013 04 11  0720   56393  26400     6.16e-06    5.24e-05    1.17e-01
2013 04 11  0725   56393  26700     3.21e-06    3.64e-05    8.78e-02
2013 04 11  0730   56393  27000     1.85e-06    2.45e-05    7.53e-02
2013 04 11  0735   56393  27300     1.25e-06    1.76e-05    7.08e-02
2013 04 11  0740   56393  27600     9.41e-07    1.37e-05    6.86e-02
2013 04 11  0745   56393  27900     7.65e-07    1.17e-05    6.49e-02
2013 04 11  0750   56393  28200     5.56e-07    9.53e-06    5.82e-02
2013 04 11  0755   56393  28500     4.42e-07    7.92e-06    5.58e-02
2013 04 11  0800   56393  28800     3.77e-07    6.88e-06    5.48e-02
2013 04 11  0805   56393  29100     3.45e-07    6.23e-06    5.54e-02
2013 04 11  0810   56393  29400     3.11e-07    5.63e-06    5.53e-02
2013 04 11  0815   56393  29700     2.76e-07    5.09e-06    5.41e-02
2013 04 11  0820   56393  30000     2.34e-07    4.61e-06    5.06e-02
2013 04 11  0825   56393  30300     2.07e-07    4.24e-06    4.87e-02
2013 04 11  0830   56393  30600     1.86e-07    3.93e-06    4.72e-02
2013 04 11  0835   56393  30900     1.68e-07    3.64e-06    4.63e-02
2013 04 11  0840   56393  31200     1.47e-07    3.36e-06    4.37e-02
2013 04 11  0845   56393  31500     1.29e-07    3.01e-06    4.30e-02
2013 04 11  0850   56393  31800    -1.00e+05   -1.00e+05   -1.00e+05
2013 04 11  0855   56393  32100    -1.00e+05   -1.00e+05   -1.00e+05
2013 04 11  0900   56393  32400    -1.00e+05   -1.00e+05   -1.00e+05
2013 04 11  0905   56393  32700    -1.00e+05   -1.00e+05   -1.00e+05
2013 04 11  0910   56393  33000     6.73e-08    2.27e-06    2.97e-02
2013 04 11  0915   56393  33300     6.09e-08    2.16e-06    2.82e-02
2013 04 11  0920   56393  33600     5.35e-08    2.02e-06    2.64e-02
2013 04 11  0925   56393  33900     4.48e-08    1.87e-06    2.40e-02
2013 04 11  0930   56393  34200     3.85e-08    1.75e-06    2.19e-02
2013 04 11  0935   56393  34500     3.80e-08    1.65e-06    2.30e-02
2013 04 11  0940   56393  34800     3.44e-08    1.57e-06    2.19e-02
2013 04 11  0945   56393  35100     3.32e-08    1.52e-06    2.18e-02
2013 04 11  0950   56393  35400     3.35e-08    1.47e-06    2.27e-02
2013 04 11  0955   56393  35700     3.29e-08    1.45e-06    2.27e-02
2013 04 11  1000   56393  36000     2.89e-08    1.43e-06    2.03e-02
2013 04 11  1005   56393  36300     2.99e-08    1.40e-06    2.13e-02
2013 04 11  1010   56393  36600     2.19e-07    2.70e-06    7.02e-02
2013 04 11  1015   56393  36900     6.48e-08    1.80e-06    3.44e-02
2013 04 11  1020   56393  37200     3.44e-08    1.52e-06    2.26e-02
2013 04 11  1025   56393  37500     4.98e-08    1.57e-06    3.11e-02
