:Data_list: 20141029_Gp_xr_5m.txt
:Created: 2014 Oct 30 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2014 10 29  0000   56959      0     1.56e-07    3.70e-06    4.21e-02
2014 10 29  0005   56959    300     1.15e-07    3.48e-06    3.31e-02
2014 10 29  0010   56959    600     9.13e-08    3.20e-06    2.85e-02
2014 10 29  0015   56959    900     8.47e-08    3.08e-06    2.75e-02
2014 10 29  0020   56959   1200     8.51e-08    3.04e-06    2.80e-02
2014 10 29  0025   56959   1500     8.85e-08    3.02e-06    2.93e-02
2014 10 29  0030   56959   1800     9.65e-08    3.05e-06    3.17e-02
2014 10 29  0035   56959   2100     9.84e-08    3.06e-06    3.21e-02
2014 10 29  0040   56959   2400     9.95e-08    3.09e-06    3.22e-02
2014 10 29  0045   56959   2700     9.95e-08    3.11e-06    3.19e-02
2014 10 29  0050   56959   3000     1.02e-07    3.20e-06    3.18e-02
2014 10 29  0055   56959   3300     9.45e-08    3.15e-06    2.99e-02
2014 10 29  0100   56959   3600     1.05e-07    3.27e-06    3.21e-02
2014 10 29  0105   56959   3900     1.12e-07    3.37e-06    3.33e-02
2014 10 29  0110   56959   4200     3.84e-07    4.17e-06    6.81e-02
2014 10 29  0115   56959   4500     2.00e-07    3.74e-06    4.95e-02
2014 10 29  0120   56959   4800     1.28e-07    3.31e-06    3.88e-02
2014 10 29  0125   56959   5100     1.36e-07    3.37e-06    4.02e-02
2014 10 29  0130   56959   5400     1.36e-07    3.43e-06    3.95e-02
2014 10 29  0135   56959   5700     1.29e-07    3.41e-06    3.78e-02
2014 10 29  0140   56959   6000     1.15e-07    3.32e-06    3.45e-02
2014 10 29  0145   56959   6300     1.04e-07    3.24e-06    3.21e-02
2014 10 29  0150   56959   6600     1.21e-07    3.39e-06    3.55e-02
2014 10 29  0155   56959   6900     1.65e-07    3.89e-06    4.23e-02
2014 10 29  0200   56959   7200     1.25e-07    3.59e-06    3.48e-02
2014 10 29  0205   56959   7500     1.04e-07    3.40e-06    3.07e-02
2014 10 29  0210   56959   7800     1.14e-07    3.32e-06    3.42e-02
2014 10 29  0215   56959   8100     1.03e-07    3.25e-06    3.15e-02
2014 10 29  0220   56959   8400     7.72e-08    3.00e-06    2.57e-02
2014 10 29  0225   56959   8700     7.96e-08    2.99e-06    2.67e-02
2014 10 29  0230   56959   9000     6.63e-08    2.87e-06    2.30e-02
2014 10 29  0235   56959   9300     6.22e-08    2.76e-06    2.25e-02
2014 10 29  0240   56959   9600     6.37e-08    2.70e-06    2.36e-02
2014 10 29  0245   56959   9900     1.00e-07    2.83e-06    3.49e-02
2014 10 29  0250   56959  10200     1.15e-07    3.09e-06    3.68e-02
2014 10 29  0255   56959  10500     6.92e-08    2.69e-06    2.57e-02
2014 10 29  0300   56959  10800     8.59e-08    2.69e-06    3.17e-02
2014 10 29  0305   56959  11100     4.24e-08    2.35e-06    1.80e-02
2014 10 29  0310   56959  11400     1.75e-07    2.79e-06    5.75e-02
2014 10 29  0315   56959  11700     8.61e-08    2.72e-06    3.08e-02
2014 10 29  0320   56959  12000     4.21e-08    2.30e-06    1.83e-02
2014 10 29  0325   56959  12300     3.68e-08    2.18e-06    1.68e-02
2014 10 29  0330   56959  12600     4.05e-07    3.54e-06    9.97e-02
2014 10 29  0335   56959  12900     4.50e-07    4.49e-06    9.91e-02
2014 10 29  0340   56959  13200     9.40e-07    6.62e-06    1.43e-01
2014 10 29  0345   56959  13500     7.46e-07    7.38e-06    1.01e-01
2014 10 29  0350   56959  13800     7.75e-07    6.84e-06    1.13e-01
2014 10 29  0355   56959  14100     1.07e-06    8.16e-06    1.31e-01
2014 10 29  0400   56959  14400     8.91e-07    8.10e-06    1.10e-01
2014 10 29  0405   56959  14700     6.33e-07    7.14e-06    8.83e-02
2014 10 29  0410   56959  15000     4.28e-07    6.18e-06    6.92e-02
2014 10 29  0415   56959  15300     3.09e-07    5.47e-06    5.64e-02
2014 10 29  0420   56959  15600     2.40e-07    4.90e-06    4.88e-02
2014 10 29  0425   56959  15900     2.12e-07    4.63e-06    4.57e-02
2014 10 29  0430   56959  16200     1.99e-07    4.43e-06    4.50e-02
2014 10 29  0435   56959  16500     1.79e-07    4.19e-06    4.28e-02
2014 10 29  0440   56959  16800     1.50e-07    3.96e-06    3.80e-02
2014 10 29  0445   56959  17100     1.24e-07    3.69e-06    3.35e-02
2014 10 29  0450   56959  17400     1.16e-07    3.60e-06    3.23e-02
2014 10 29  0455   56959  17700     1.25e-07    3.61e-06    3.46e-02
2014 10 29  0500   56959  18000     1.09e-07    3.47e-06    3.12e-02
2014 10 29  0505   56959  18300     8.36e-08    3.17e-06    2.64e-02
2014 10 29  0510   56959  18600     7.98e-08    3.06e-06    2.61e-02
2014 10 29  0515   56959  18900     1.35e-07    3.43e-06    3.93e-02
2014 10 29  0520   56959  19200     1.44e-07    3.49e-06    4.12e-02
2014 10 29  0525   56959  19500     1.86e-07    3.64e-06    5.08e-02
2014 10 29  0530   56959  19800     1.76e-07    3.71e-06    4.69e-02
2014 10 29  0535   56959  20100     1.04e-07    3.21e-06    3.22e-02
2014 10 29  0540   56959  20400     6.68e-08    2.83e-06    2.36e-02
2014 10 29  0545   56959  20700     6.52e-08    2.67e-06    2.43e-02
2014 10 29  0550   56959  21000     4.41e-08    2.42e-06    1.82e-02
2014 10 29  0555   56959  21300     4.18e-08    2.34e-06    1.79e-02
2014 10 29  0600   56959  21600     4.18e-08    2.33e-06    1.79e-02
2014 10 29  0605   56959  21900     4.63e-07    4.26e-06    9.94e-02
2014 10 29  0610   56959  22200     9.22e-07    6.77e-06    1.36e-01
2014 10 29  0615   56959  22500     1.01e-06    7.34e-06    1.38e-01
2014 10 29  0620   56959  22800     8.93e-07    7.20e-06    1.24e-01
