:Data_list: 20141102_Gp_xr_5m.txt
:Created: 2014 Nov 03 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2014 11 02  0000   56963      0     1.00e-09    3.62e-07    2.76e-03
2014 11 02  0005   56963    300     1.00e-09    3.55e-07    2.82e-03
2014 11 02  0010   56963    600     1.00e-09    3.63e-07    2.76e-03
2014 11 02  0015   56963    900     1.00e-09    3.61e-07    2.77e-03
2014 11 02  0020   56963   1200     1.00e-09    3.68e-07    2.72e-03
2014 11 02  0025   56963   1500     1.00e-09    3.56e-07    2.81e-03
2014 11 02  0030   56963   1800     1.00e-09    3.48e-07    2.87e-03
2014 11 02  0035   56963   2100     1.00e-09    3.47e-07    2.89e-03
2014 11 02  0040   56963   2400     1.00e-09    3.49e-07    2.86e-03
2014 11 02  0045   56963   2700     1.00e-09    3.45e-07    2.90e-03
2014 11 02  0050   56963   3000     1.00e-09    3.55e-07    2.82e-03
2014 11 02  0055   56963   3300     1.00e-09    4.06e-07    2.47e-03
2014 11 02  0100   56963   3600     1.00e-09    4.21e-07    2.37e-03
2014 11 02  0105   56963   3900     1.00e-09    4.34e-07    2.30e-03
2014 11 02  0110   56963   4200     1.00e-09    4.13e-07    2.42e-03
2014 11 02  0115   56963   4500     1.00e-09    3.90e-07    2.57e-03
2014 11 02  0120   56963   4800     1.02e-09    4.18e-07    2.44e-03
2014 11 02  0125   56963   5100     1.00e-09    4.05e-07    2.47e-03
2014 11 02  0130   56963   5400     1.00e-09    4.03e-07    2.48e-03
2014 11 02  0135   56963   5700     1.00e-09    3.96e-07    2.52e-03
2014 11 02  0140   56963   6000     1.00e-09    3.89e-07    2.57e-03
2014 11 02  0145   56963   6300     1.00e-09    3.79e-07    2.64e-03
2014 11 02  0150   56963   6600     1.00e-09    3.82e-07    2.62e-03
2014 11 02  0155   56963   6900     1.00e-09    4.00e-07    2.51e-03
2014 11 02  0200   56963   7200     1.00e-09    4.18e-07    2.39e-03
2014 11 02  0205   56963   7500     1.00e-09    4.07e-07    2.46e-03
2014 11 02  0210   56963   7800     1.00e-09    3.93e-07    2.54e-03
2014 11 02  0215   56963   8100     1.00e-09    3.92e-07    2.55e-03
2014 11 02  0220   56963   8400     1.00e-09    3.85e-07    2.60e-03
2014 11 02  0225   56963   8700     1.00e-09    4.08e-07    2.45e-03
2014 11 02  0230   56963   9000     1.00e-09    4.00e-07    2.50e-03
2014 11 02  0235   56963   9300     1.00e-09    4.11e-07    2.43e-03
2014 11 02  0240   56963   9600     1.00e-09    4.08e-07    2.45e-03
2014 11 02  0245   56963   9900     1.00e-09    4.02e-07    2.49e-03
2014 11 02  0250   56963  10200     1.00e-09    4.05e-07    2.47e-03
2014 11 02  0255   56963  10500     1.00e-09    4.11e-07    2.43e-03
2014 11 02  0300   56963  10800     1.00e-09    4.23e-07    2.36e-03
2014 11 02  0305   56963  11100     9.14e-09    5.64e-07    1.47e-02
2014 11 02  0310   56963  11400     1.46e-09    5.11e-07    2.75e-03
2014 11 02  0315   56963  11700     1.00e-09    4.48e-07    2.23e-03
2014 11 02  0320   56963  12000     1.00e-09    4.68e-07    2.14e-03
2014 11 02  0325   56963  12300     1.10e-09    4.80e-07    2.29e-03
2014 11 02  0330   56963  12600     1.37e-09    5.12e-07    2.66e-03
2014 11 02  0335   56963  12900     1.71e-09    5.35e-07    3.14e-03
2014 11 02  0340   56963  13200     1.00e-09    4.99e-07    2.01e-03
2014 11 02  0345   56963  13500     1.00e-09    4.82e-07    2.07e-03
2014 11 02  0350   56963  13800     1.01e-09    4.88e-07    2.07e-03
2014 11 02  0355   56963  14100     3.45e-09    5.04e-07    6.27e-03
2014 11 02  0400   56963  14400     2.09e-08    7.41e-07    2.70e-02
2014 11 02  0405   56963  14700     1.26e-09    5.20e-07    2.40e-03
2014 11 02  0410   56963  15000     1.00e-09    4.74e-07    2.11e-03
2014 11 02  0415   56963  15300     1.29e-09    4.83e-07    2.63e-03
2014 11 02  0420   56963  15600     1.36e-09    5.35e-07    2.54e-03
2014 11 02  0425   56963  15900     1.00e-08    6.45e-07    1.55e-02
2014 11 02  0430   56963  16200     1.49e-09    5.66e-07    2.56e-03
2014 11 02  0435   56963  16500     1.00e-09    4.65e-07    2.15e-03
2014 11 02  0440   56963  16800     1.03e-09    4.38e-07    2.35e-03
2014 11 02  0445   56963  17100     1.00e-09    4.30e-07    2.33e-03
2014 11 02  0450   56963  17400     1.00e-09    4.40e-07    2.27e-03
2014 11 02  0455   56963  17700     1.00e-09    4.29e-07    2.33e-03
2014 11 02  0500   56963  18000     1.00e-09    4.39e-07    2.28e-03
2014 11 02  0505   56963  18300     1.00e-09    4.55e-07    2.21e-03
2014 11 02  0510   56963  18600     1.00e-09    4.72e-07    2.12e-03
2014 11 02  0515   56963  18900     1.04e-09    4.82e-07    2.15e-03
2014 11 02  0520   56963  19200     1.00e-09    4.63e-07    2.16e-03
2014 11 02  0525   56963  19500     1.00e-09    4.46e-07    2.24e-03
2014 11 02  0530   56963  19800     1.00e-09    4.41e-07    2.27e-03
2014 11 02  0535   56963  20100     1.00e-09    4.30e-07    2.33e-03
2014 11 02  0540   56963  20400     1.00e-09    4.39e-07    2.28e-03
2014 11 02  0545   56963  20700     1.00e-09    4.29e-07    2.33e-03
2014 11 02  0550   56963  21000     1.00e-09    4.31e-07    2.33e-03
2014 11 02  0555   56963  21300     1.00e-09    4.16e-07    2.40e-03
2014 11 02  0600   56963  21600     1.00e-09    4.20e-07    2.39e-03
2014 11 02  0605   56963  21900     1.00e-09    4.29e-07    2.33e-03
2014 11 02  0610   56963  22200     1.00e-09    4.66e-07    2.16e-03
2014 11 02  0615   56963  22500     1.00e-09    4.81e-07    2.08e-03
2014 11 02  0620   56963  22800     1.64e-09    5.27e-07    3.06e-03
2014 11 02  0625   56963  23100     4.59e-09    5.78e-07    7.94e-03
2014 11 02  0630   56963  23400     1.63e-09    5.62e-07    2.89e-03
2014 11 02  0635   56963  23700     1.02e-09    5.17e-07    1.97e-03
2014 11 02  0640   56963  24000     1.00e-09    4.95e-07    2.02e-03
2014 11 02  0645   56963  24300     1.00e-09    4.90e-07    2.05e-03
2014 11 02  0650   56963  24600     1.00e-09    4.82e-07    2.07e-03
2014 11 02  0655   56963  24900     1.00e-09    4.70e-07    2.14e-03
2014 11 02  0700   56963  25200     1.04e-09    4.58e-07    2.27e-03
2014 11 02  0705   56963  25500     1.00e-09    4.51e-07    2.23e-03
2014 11 02  0710   56963  25800     1.00e-09    4.28e-07    2.34e-03
2014 11 02  0715   56963  26100     1.00e-09    4.17e-07    2.40e-03
2014 11 02  0720   56963  26400     1.00e-09    4.16e-07    2.41e-03
2014 11 02  0725   56963  26700     1.00e-09    4.18e-07    2.39e-03
2014 11 02  0730   56963  27000     1.00e-09    4.19e-07    2.39e-03
2014 11 02  0735   56963  27300     1.00e-09    4.08e-07    2.45e-03
2014 11 02  0740   56963  27600     1.00e-09    4.07e-07    2.46e-03
2014 11 02  0745   56963  27900     1.00e-09    4.11e-07    2.43e-03
2014 11 02  0750   56963  28200     1.00e-09    4.17e-07    2.40e-03
2014 11 02  0755   56963  28500     1.00e-09    4.28e-07    2.34e-03
2014 11 02  0800   56963  28800     1.00e-09    4.25e-07    2.35e-03
2014 11 02  0805   56963  29100     1.00e-09    4.25e-07    2.35e-03
2014 11 02  0810   56963  29400     1.00e-09    4.34e-07    2.30e-03
2014 11 02  0815   56963  29700     1.00e-09    4.40e-07    2.27e-03
2014 11 02  0820   56963  30000     1.00e-09    4.39e-07    2.28e-03
2014 11 02  0825   56963  30300     1.00e-09    4.35e-07    2.30e-03
2014 11 02  0830   56963  30600     1.00e-09    4.37e-07    2.29e-03
2014 11 02  0835   56963  30900     1.02e-09    4.72e-07    2.15e-03
2014 11 02  0840   56963  31200     1.00e-09    4.76e-07    2.10e-03
